compound_id,InChIKey,canonical_smiles,scaffold,exact_scaffold_hit,similar_scaffold_hit,Note,exists_in_InFlam
6837,YZHYAKQANFUWDQ-UHFFFAOYSA-N,CC(=O)OC1CC(C)(Cl)C(Br)CC1(O)C1(C)C(O)CC(Br)C1(C)C,C1CCC(C2CCCC2)CC1,False,True,Similar,False
8768,CURUTKGFNZGFSE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,C1CCC(C2CCCCC2)CC1,False,True,Similar,False
10167,XKYZQPLLLQGSRQ-UHFFFAOYSA-N,CC(C)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
10352,SEUSNJUQUVUXAA-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(C)CCC1(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
10417,AZRLXPLRYMPSOI-UHFFFAOYSA-N,CC(C)C1CCC2(C)C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
11057,IAPXYCMXNFXQLY-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C(C)C)CCC4(C)CCC23C)C1(C)C,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
11529,YVFUWFRLVWFNLF-UHFFFAOYSA-N,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
11993,JQHTXZNYHSCIFE-UHFFFAOYSA-N,CC(C)(O)CC1CCC2(C)C(O)CCC(C)(O)C12,C1CCC2CCCC2C1,False,True,Similar,False
12532,VYOZKWKETGHHDW-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
14349,PLBUOEGUHNLVRB-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C3=CCC4C5C(C(C)C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
14655,DKVGZFGCLJVLKK-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(CO)CCC1(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
15921,NPBYTIHOCDRNRJ-UHFFFAOYSA-N,CC(=O)OC1CCC(C)(O)C2C(CC(C)(C)O)CCC12C,C1CCC2CCCC2C1,False,True,Similar,False
16911,FKMCEEHVCIIPLE-UHFFFAOYSA-N,CC(C)=CC1CCC2(C)C(O)CCC(C)(O)C12,C1CCC2CCCC2C1,False,True,Similar,False
18620,MVIRDLIVVBWEQK-UHFFFAOYSA-N,CC(=O)C12CC(C(C)(C)O)CCC1(C)CCC2O,C1CCC2CCCC2C1,False,True,Similar,False
18846,ARUKYTASOALXFG-UHFFFAOYSA-N,C1CCCC(C2CCCCCC2)CC1,C1CCCC(C2CCCCCC2)CC1,False,True,Similar,False
20551,MGVRARFPKYMFHG-UHFFFAOYSA-N,C=C(C)C1CCC2(CO)CCC3(CO)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
20810,BNRNAKTVFSZAFA-UHFFFAOYSA-N,C1CCC2CCCC2C1,C1CCC2CCCC2C1,False,True,Similar,False
22129,RQHOQQOEZPFYTD-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C2CCC(C)(O)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
22299,YBRJHZPWOMJYKQ-UHFFFAOYSA-N,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(=O)O)C1,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
22322,KOQBBUWNLZFEMV-UHFFFAOYSA-N,CC(C)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
22637,ZHDRLFGZQZCZKX-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(C)CCCC4(C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
22721,QAQCPAHQVOKALN-UHFFFAOYSA-N,CC(C)C1CCC(C)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
22722,SSCVGFQOFLDIGI-UHFFFAOYSA-N,CC(=O)C1C(C(C)C)CCC2(C)CCCC12,C1CCC2CCCC2C1,False,True,Similar,False
22904,MAZFBCJNIUKTID-UHFFFAOYSA-N,CC(C)C1(O)CCC(C)(O)C2CCC(C)(O)C2C1O,C1CCC2CCCC2CC1,False,True,Similar,False
23394,FOFPZJOWGBADIY-UHFFFAOYSA-N,CC1(C)CCCC1C1CCCCC1,C1CCC(C2CCCC2)CC1,False,True,Similar,False
23691,WLXJHVQYKOJBBN-UHFFFAOYSA-N,CC(=O)C1CCC2C1C(C(C)C)CCC2(C)O,C1CCC2CCCC2C1,False,True,Similar,False
25953,WVIIMZNLDWSIRH-UHFFFAOYSA-N,C1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1,False,True,Similar,False
26346,YCHDRKAWJJJVIH-UHFFFAOYSA-N,C=C(C)C1CCC(C)C2(O)CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
27425,JBMKRBYWTDYYDW-UHFFFAOYSA-N,CC(=O)OCC12CCC3(C)C4C(=CCC3(C)C1C(O)CC2C(C)C)C1(C)CC(O)C(O)C(C)(C)C1CC4O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
27756,FQHMGDGIXBLTOA-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3C(=CCC21C)C1(C)CCC(O)C(C)(C)C1CC3O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
29219,ZXWHFWJXLBFYEO-UHFFFAOYSA-N,CC(C)=CCCC(C)=CC1CCC2(C)C(Br)CCC(C)(O)C12,C1CCC2CCCC2C1,False,True,Similar,False
31106,QGALFKRHZSPTEG-UHFFFAOYSA-N,CC(C)=CC1C(C)CCC2C(C)CCC12O,C1CCC2CCCC2C1,False,True,Similar,False
31568,SITKOPDZOGHVLY-UHFFFAOYSA-N,CC1CCCC(C)C2CC(C)(C)C2CC1,C1CCCC2CCC2CCC1,False,True,Similar,False
31720,OFGCDEUJOOZBRL-UHFFFAOYSA-N,C=C(C)C1CCC(C)(OC)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
33016,LSACXWBGTOJFEP-UHFFFAOYSA-N,CC(C)C1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
33520,QHMVDJGMBDTIEY-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC2(C)CCC(O)C2(C(C)=O)C1,C1CCC2CCCC2C1,False,True,Similar,False
33718,CXQOZINRAFPQEX-UHFFFAOYSA-N,CC(C)C1CCC(C)(O)C2CCC(C)(O)C2C1O,C1CCC2CCCC2CC1,False,True,Similar,False
33786,OOVYFGQDUNZBAS-UHFFFAOYSA-N,CC(C)(O)CC1CCC2(C)C(O)C(O)CC(C)(O)C12,C1CCC2CCCC2C1,False,True,Similar,False
33920,PZXKVMLXLHHEGS-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(CCC(C)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
34434,JOARPSTUQGJONT-UHFFFAOYSA-N,CC(C)=CC1(O)C(C)CCC2C(C)CCC21,C1CCC2CCCC2C1,False,True,Similar,False
39989,TUCSIUBDOHTKKQ-UHFFFAOYSA-N,C=CC1(O)CCC2(C)C(C)CCC2(C)C1C,C1CCC2CCCC2C1,False,True,Similar,False
40681,DSIZXZISLDRGBM-UHFFFAOYSA-N,CC1CCC2C(C)CCCC(C)(C)C2C1,C1CCC2CCCCC2CC1,False,True,Similar,False
41477,TUKMYOLTOOBHQF-UHFFFAOYSA-N,CC(C)C1CCC(C)C2CCCC2(C)C1,C1CCC2CCCC2CC1,False,True,Similar,False
41765,HASSBFRDJUITDM-UHFFFAOYSA-N,CC(C)(O)C1CC2C(CCC2(C)O)C(C)(O)CC1O,C1CCC2CCCC2CC1,False,True,Similar,False
42369,CGKHVNUMMHTZJY-UHFFFAOYSA-N,C=C(C)C1C(O)CC2(C)C1CCC(C)(O)C2C,C1CCC2CCCC2C1,False,True,Similar,False
42518,SJFIYVCSGNWVPJ-UHFFFAOYSA-N,CC(=O)OC1CC(C)C(C=O)C2(O)C1C(C)(C)CC2(C)C=O,C1CCC2CCCC2C1,False,True,Similar,False
44009,SARMJLPHTLNPQI-UHFFFAOYSA-N,CC=C(C)C(=O)OC1CC2(C)CCC(C(C)C)C2(O)CCC1(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
45730,PECCCWAOADXQBC-UHFFFAOYSA-N,C=C(C)CC1CCC2(C)C(O)CCC(C)(O)C12,C1CCC2CCCC2C1,False,True,Similar,False
53249,XQKXCKCZBAMERY-UHFFFAOYSA-N,CC(C)C1CC(C)(C)CC2(O)C(C)(O)C(Cl)CC12O,C1CCC2CCCC2C1,False,True,Similar,False
60041,JSANAILUYYDJOG-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC(C)C2CCC(OC(C)=O)C2(C)C1,C1CCC2CCCC2CC1,False,True,Similar,False
60144,VTJQRZKWDGRSMU-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC(C)C2CCC(O)C2(C)C1,C1CCC2CCCC2CC1,False,True,Similar,False
62673,IDFYSKLLXDETRG-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(C)CCCC4(C(=O)O)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
63671,CZXKCKSITMMTPE-UHFFFAOYSA-N,CC(=O)C1CC2C(C)(N=C=S)CCC(C(C)C)C2(O)C1O,C1CCC2CCCC2C1,False,True,Similar,False
63707,PUQRTRWMWYNMDM-UHFFFAOYSA-N,CC(=O)C12CCCC1(C)CCC(C(C)C)C2,C1CCC2CCCC2C1,False,True,Similar,False
64623,YEZCFSPPFDTKFE-UHFFFAOYSA-N,CC(=O)OC1CC2C(C)(C)CC(C)(C=O)C2(O)C(C=O)C1C,C1CCC2CCCC2C1,False,True,Similar,False
67027,AFKMHDZOVNDWLO-UHFFFAOYSA-N,OC1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1,False,True,Similar,False
69192,LFAYEJZQNPMJBD-UHFFFAOYSA-N,C=C(C)C1CC(O)C2(C(C)=O)CCC(C)C2C1,C1CCC2CCCC2C1,False,True,Similar,False
70069,OGANGEPKFAUGDC-UHFFFAOYSA-N,CC(=O)OC1CC(C)C(C=O)C2(O)C1C(C)(C)CC2(C)C(=O)O,C1CCC2CCCC2C1,False,True,Similar,False
70153,HUQLDUXYHVFPRA-UHFFFAOYSA-N,CC(C)C(=O)C1CCC2(O)CCCC(C)C12C,C1CCC2CCCC2C1,False,True,Similar,False
71027,FBKFZIGTPRAJFI-UHFFFAOYSA-N,CC(C)C1CCC(C)(O)C2CCC(C(=O)CO)C12,C1CCC2CCCC2C1,False,True,Similar,False
71403,NEJWBGSUEYGAGE-UHFFFAOYSA-N,CC(C)=CC1CCC2(C)C(Br)CCC(C)(O)C12,C1CCC2CCCC2C1,False,True,Similar,False
73827,JWQDJXFGFNQZNP-UHFFFAOYSA-N,CC(C(=O)O)C1(O)CCC2C3=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC4(C)C3(C)CCC21C,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
74506,VBXAFEYVTZXMPM-UHFFFAOYSA-N,CC1CC(O)C2C(C)(C)CC(C)(C(=O)O)C2(O)C1C=O,C1CCC2CCCC2C1,False,True,Similar,False
75285,DZXAXKUHDLGMSG-UHFFFAOYSA-N,COC(=O)C1C(C)CC(OC(C)=O)C2C(C)(C)CC(C)(CO)C12O,C1CCC2CCCC2C1,False,True,Similar,False
76535,NTSNDVXMQVLQPO-UHFFFAOYSA-N,CC1CCC(O)(C2CC2)CC1O,C1CCC(C2CC2)CC1,False,True,Similar,False
77246,CFSDWXPIIWGIDB-UHFFFAOYSA-N,CC(C)C1CCC2C3=CCC4C5(C)CCCC(C)(C)C5CCC4(C)C3(C)CCC21C,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
77459,VMHVLIDJNCCRLE-UHFFFAOYSA-N,C=C(C)C(=O)C1CCC2(O)CCCC(C)C12C,C1CCC2CCCC2C1,False,True,Similar,False
77763,VZFZTNQVDXDENW-UHFFFAOYSA-N,CC(C)C1(O)CCC2(C)CCCC(C)(O)C(O)C21,C1CCC2CCCC2CC1,False,True,Similar,False
77814,WTQQWFFTXHFCPX-UHFFFAOYSA-N,CC(C)C1(O)C(O)CC2(C)CCC(CO)CCC21,C1CCC2CCCC2CC1,False,True,Similar,False
78964,FXWAZZIXKNFADB-UHFFFAOYSA-N,CC(C)C1CCC2C1(CO)CCC1(C)C3CCC4C(C)(C)CCCC4(C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
79108,JNGBHARWIKYVCH-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CC(O)C4C(C)(C)CCCC4(C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
79408,IFWDCMIBLSJBHT-UHFFFAOYSA-N,CC(C)C1CCC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC21C(=O)O,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
79628,HCLBHWFWGBSTRW-UHFFFAOYSA-N,CC=C(C)C(=O)OCC1(O)CCC(C(C)C)C2C(C(C)=O)CCC21,C1CCC2CCCC2C1,False,True,Similar,False
80476,SCPKNPXTPRNPOH-UHFFFAOYSA-N,CC(=O)C1C(O)CC2C1C(C(C)C)CCC2(C)O,C1CCC2CCCC2C1,False,True,Similar,False
80649,YZFKHBCMRCSNHK-UHFFFAOYSA-N,CC(=O)C1CC2C(C)(C)CCCC2(C)C1(O)CCC(C)=CCO,C1CCC2CCCC2C1,False,True,Similar,False
81777,GBHMZAKDHIJSRN-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC(C)C2(O)CCC(O)C2(C)C1,C1CCC2CCCC2CC1,False,True,Similar,False
82177,OLOQSHYLOVYRGK-UHFFFAOYSA-N,CC(=O)OC1CC(C)C(C(=O)O)C2(O)C1C(C)(C)CC2(C)CO,C1CCC2CCCC2C1,False,True,Similar,False
83831,CNLOBBNGOUNTFT-UHFFFAOYSA-N,C=C(CCC=C(C)C)C1CCC2C(C)CCC2C(C)(O)C1,C1CCC2CCCC2CC1,False,True,Similar,False
85230,VLBHRLBDSSUVAV-UHFFFAOYSA-N,CC(C)C(=O)C1CCC2CCCC(C)C21C,C1CCC2CCCC2C1,False,True,Similar,False
86412,FAKHGLDEZGNTPR-UHFFFAOYSA-N,COCCNC(=O)CCC12CCC(C)(O)CC1C(C)(C)CC2NC(C)=O,C1CCC2CCCC2C1,False,True,Similar,False
86705,DYLYTVUZLOXMFD-UHFFFAOYSA-N,CC1CC(O)C2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)(C(=O)O)C(C)(C)C5CCC43C)C2C1(C)O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
89732,GLGDYCZNHXCMLE-UHFFFAOYSA-N,CCNC(=O)NC1C(O)C(O)CC1C1CCCCC1,C1CCC(C2CCCC2)CC1,False,True,Similar,False
94275,WPSMUSHZUADWJC-UHFFFAOYSA-N,OC1(C2(O)CCCCC2)CCCCC1,C1CCC(C2CCCCC2)CC1,False,True,Similar,False
94750,DVKUTFDQECJHHX-UHFFFAOYSA-N,CC1CCC2(C(=O)O)CC(O)C3(C)C(=CCC4C5(C)CC(O)(C(=O)O)C(C)(C)C5CCC43C)C2C1(C)O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
96508,CEJOUUYYJRCQKL-UHFFFAOYSA-N,[C-]#[N+]CC(C)=CC1CCC2(C)CCCC(C)C12,C1CCC2CCCC2C1,False,True,Similar,False
98272,JSAWQLUFWWPQST-UHFFFAOYSA-N,CC(C)C1CCC2C3CC=C4C(CCC5C4(C)CCC(O)C5(C)C)C3(C)CCC12C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
98759,KENSWEMEFBKAGS-UHFFFAOYSA-N,CC(C)C1(O)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C21,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
102941,QOVJADDWYGCNCB-UHFFFAOYSA-N,C=C(C)C1CCC2(CO)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
103579,XDDDBYWCZKMQFS-UHFFFAOYSA-N,CC(C)C1CCC(C)(O)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
107096,QGLZWJJVYUWDAC-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C2CCC(C(C)=O)C12,C1CCC2CCCC2C1,False,True,Similar,False
107453,VUYQPQKAKQWFEC-UHFFFAOYSA-N,N#CC1(C2(C#N)CCCCC2)CCCCC1,C1CCC(C2CCCCC2)CC1,False,True,Similar,False
113941,XPEOIYWRHYTKDP-UHFFFAOYSA-N,CC(=O)C1CC2(O)C(C)CCC(C(C)C)C2C1O,C1CCC2CCCC2C1,False,True,Similar,False
114992,YPCHDQUGYDAPIS-UHFFFAOYSA-N,CC(O)(CO)C1CCC(C)(O)C2CCC(C)(O)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
115005,RDBZPQHLQRBYGV-UHFFFAOYSA-N,CC1CC(O)C2C1CC(C(C)(O)CO)CCC2(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
117155,JROYJQYNQWSYIJ-UHFFFAOYSA-N,CNC1C(O)CCC2CC(CC(N)C(=O)O)(C(=O)O)CC21,C1CCC2CCCC2C1,False,True,Similar,False
119302,JAAMRJACPHHTIP-UHFFFAOYSA-N,CC(=O)OC1CC(C)(Cl)C(Br)CC1(O)C1(C)CCC(Br)C1(C)C,C1CCC(C2CCCC2)CC1,False,True,Similar,False
119424,UVYFMOMYWRYITK-UHFFFAOYSA-N,CC1(O)CCC(O)(C(C)(C)O)CC2(C)C(O)CCC12,C1CCC2CCCC2CC1,False,True,Similar,False
119816,DYINHGJSKDCGLB-UHFFFAOYSA-N,C=C(C)C(N=C=S)C1CCC2(C)CCCC(C)C12,C1CCC2CCCC2C1,False,True,Similar,False
119931,JHAWZFPZKIMQNA-UHFFFAOYSA-N,CC(=O)C1CC2C(C(C)(O)CCC=C(C)C)CCC2(C)CC1O,C1CCC2CCCC2C1,False,True,Similar,False
120557,JQVRGJMXYNVMIA-UHFFFAOYSA-N,CC1(C)CCCC2(C)C1CCC2(C)C(=O)O,C1CCC2CCCC2C1,False,True,Similar,False
120558,CNTXEQHESHSVFZ-UHFFFAOYSA-N,CC1(C)CCCC2(C)C1CCC2(C)C=O,C1CCC2CCCC2C1,False,True,Similar,False
121581,RITYTGBWLLRFSG-UHFFFAOYSA-N,CC1(Br)CCC(O)(C2(C)CCC(Br)C2(C)C)CC1Cl,C1CCC(C2CCCC2)CC1,False,True,Similar,False
123808,RNVQSRWOSYQRPA-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C2(C)CCC(C)(O)C2(C)C1,C1CCC2CCCC2CC1,False,True,Similar,False
126053,JWJOVQPNPYQUDW-UHFFFAOYSA-N,CC(C)(O)C1CCC(C)(O)C2(C)CCC(C)(O)C2(C)C1,C1CCC2CCCC2CC1,False,True,Similar,False
126186,DHYDUAYOJJKGRC-UHFFFAOYSA-N,CC(=CC1CCC2(C)CCCC(C)C12)CSC#N,C1CCC2CCCC2C1,False,True,Similar,False
126348,OVNIGQYLWRGLAB-UHFFFAOYSA-N,CC(=O)C1CCC(Br)C2(C)CCC(C(C)C)C12,C1CCC2CCCC2C1,False,True,Similar,False
126893,XUOPWHOHGIDEAX-UHFFFAOYSA-N,C=C(C(=O)OC)C1CCC2(C)CCC(O)C2(C(C)=O)C1,C1CCC2CCCC2C1,False,True,Similar,False
127545,NHXFTAGREZWYPK-UHFFFAOYSA-N,C=C(C)C1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,False,True,Similar,False
127677,DMVJXSFUJUHRRF-UHFFFAOYSA-N,CC(=O)OC1(C)CCC(C(C)C)C2C(C(C)=O)CCC21,C1CCC2CCCC2C1,False,True,Similar,False
127724,YLMSJTAFOFIDRW-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC2(C)CCC(C(C)=O)C2(O)C1,C1CCC2CCCC2C1,False,True,Similar,False
128981,ZFDHHJKYPBEVIK-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C3=CCC4(C)C5C(O)CC(C(C)C)C5(C)CCC4(C)C3CCC2C1(C)C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,False,True,Similar,False
130710,ZQKHJAAYIFIRJZ-UHFFFAOYSA-N,COC(C)(CO)C1CCC(C)(O)C2CCC(C)(O)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
131825,NAGNILQBMVLGAF-UHFFFAOYSA-N,CC1CCC2C1CC(C(C)(C)O)CCC2(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
131875,SZXOZYZKNYDKBM-UHFFFAOYSA-N,CC1CCC2C1CC(C(C)(O)COS(=O)(=O)O)CCC2(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
132296,ZPYVXPAWWQZYPQ-UHFFFAOYSA-N,CC(CO)C1CCC(C)(O)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
132575,ZMKAVJLNYHOIQP-UHFFFAOYSA-N,CC1CCC2C1CC(C(C)(O)CO)CCC2(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
132695,WGZJGSMZQTWTSO-UHFFFAOYSA-N,CC1CCC2(O)C1CC(C(C)(O)COS(=O)(=O)O)CCC2(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
132742,GOYUTIALMJBQCT-UHFFFAOYSA-N,C=C(CO)C1CCC(C)(O)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
133372,RKZYIKOFJUIEIF-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OCC(C)(O)C1CCC(C)(O)C2CCC(C)C2C1,C1CCC2CCCC2CC1,False,True,Similar,False
133663,HQEHOUBUOJUOIA-UHFFFAOYSA-N,CC1CCC2C1C(C(C)C(=O)O)CCCC2(C)O,C1CCC2CCCC2CC1,False,True,Similar,False
